client_id,sample_count,label_entropy,group_entropy,label_distribution,group_distribution,joint_distribution
0,2564,0.7713440598729444,0.9199766376378101,"{""0"": 1984, ""1"": 580}","{""Female"": 859, ""Male"": 1705}","{""0|Female"": 778, ""0|Male"": 1206, ""1|Female"": 81, ""1|Male"": 499}"
1,2564,0.8228132756590831,0.902042078280013,"{""0"": 1904, ""1"": 660}","{""Female"": 815, ""Male"": 1749}","{""0|Female"": 729, ""0|Male"": 1175, ""1|Female"": 86, ""1|Male"": 574}"
2,2564,0.8222165643311006,0.9037526441935162,"{""0"": 1905, ""1"": 659}","{""Female"": 819, ""Male"": 1745}","{""0|Female"": 718, ""0|Male"": 1187, ""1|Female"": 101, ""1|Male"": 558}"
3,2564,0.8251886517165775,0.899009595944974,"{""0"": 1900, ""1"": 664}","{""Female"": 808, ""Male"": 1756}","{""0|Female"": 703, ""0|Male"": 1197, ""1|Female"": 105, ""1|Male"": 559}"
4,2564,0.8037755794293677,0.9108428562294697,"{""0"": 1935, ""1"": 629}","{""Female"": 836, ""Male"": 1728}","{""0|Female"": 736, ""0|Male"": 1199, ""1|Female"": 100, ""1|Male"": 529}"
5,2564,0.8037755794293677,0.9087875978470054,"{""0"": 1935, ""1"": 629}","{""Female"": 831, ""Male"": 1733}","{""0|Female"": 732, ""0|Male"": 1203, ""1|Female"": 99, ""1|Male"": 530}"
6,2564,0.8094183718260385,0.9067072947014674,"{""0"": 1926, ""1"": 638}","{""Female"": 826, ""Male"": 1738}","{""0|Female"": 738, ""0|Male"": 1188, ""1|Female"": 88, ""1|Male"": 550}"
7,2563,0.8311997298135428,0.9085077401393995,"{""0"": 1889, ""1"": 674}","{""Female"": 830, ""Male"": 1733}","{""0|Female"": 733, ""0|Male"": 1156, ""1|Female"": 97, ""1|Male"": 577}"
8,2563,0.8205732518901382,0.9146111430987772,"{""0"": 1907, ""1"": 656}","{""Female"": 845, ""Male"": 1718}","{""0|Female"": 756, ""0|Male"": 1151, ""1|Female"": 89, ""1|Male"": 567}"
9,2563,0.7803910017141505,0.9146111430987772,"{""0"": 1970, ""1"": 593}","{""Female"": 845, ""Male"": 1718}","{""0|Female"": 746, ""0|Male"": 1224, ""1|Female"": 99, ""1|Male"": 494}"
