client_id,sample_count,label_entropy,group_entropy,label_distribution,group_distribution,joint_distribution
0,2564,0.7922010064704774,0.9112509094006872,"{""0"": 1953, ""1"": 611}","{""Female"": 837, ""Male"": 1727}","{""0|Female"": 748, ""0|Male"": 1205, ""1|Female"": 89, ""1|Male"": 522}"
1,2564,0.7895759568356465,0.9075424263640386,"{""0"": 1957, ""1"": 607}","{""Female"": 828, ""Male"": 1736}","{""0|Female"": 740, ""0|Male"": 1217, ""1|Female"": 88, ""1|Male"": 519}"
2,2564,0.8087961077579308,0.92074615168846,"{""0"": 1927, ""1"": 637}","{""Female"": 861, ""Male"": 1703}","{""0|Female"": 762, ""0|Male"": 1165, ""1|Female"": 99, ""1|Male"": 538}"
3,2564,0.8056671329063219,0.9195904033256002,"{""0"": 1932, ""1"": 632}","{""Female"": 858, ""Male"": 1706}","{""0|Female"": 767, ""0|Male"": 1165, ""1|Female"": 91, ""1|Male"": 541}"
4,2564,0.8228132756590831,0.8863790387472434,"{""0"": 1904, ""1"": 660}","{""Female"": 780, ""Male"": 1784}","{""0|Female"": 683, ""0|Male"": 1221, ""1|Female"": 97, ""1|Male"": 563}"
5,2564,0.8056671329063219,0.8976947220283461,"{""0"": 1932, ""1"": 632}","{""Female"": 805, ""Male"": 1759}","{""0|Female"": 729, ""0|Male"": 1203, ""1|Female"": 76, ""1|Male"": 556}"
6,2564,0.8143543201144313,0.9267609548928618,"{""0"": 1918, ""1"": 646}","{""Female"": 877, ""Male"": 1687}","{""0|Female"": 756, ""0|Male"": 1162, ""1|Female"": 121, ""1|Male"": 525}"
7,2563,0.8058221363810684,0.9158049259182678,"{""0"": 1931, ""1"": 632}","{""Female"": 848, ""Male"": 1715}","{""0|Female"": 765, ""0|Male"": 1166, ""1|Female"": 83, ""1|Male"": 549}"
8,2563,0.8120502113703928,0.8874493398595319,"{""0"": 1921, ""1"": 642}","{""Female"": 782, ""Male"": 1781}","{""0|Female"": 688, ""0|Male"": 1233, ""1|Female"": 94, ""1|Male"": 548}"
9,2563,0.8363748888146634,0.9117908390840869,"{""0"": 1880, ""1"": 683}","{""Female"": 838, ""Male"": 1725}","{""0|Female"": 731, ""0|Male"": 1149, ""1|Female"": 107, ""1|Male"": 576}"
