client_id,sample_count,label_entropy,group_entropy,label_distribution,group_distribution,joint_distribution,seed,partition,source_file,evidence_type
0,2564,0.8240032552758512,0.9071253626894912,"{""0"": 1902, ""1"": 662}","{""Female"": 827, ""Male"": 1737}","{""0|Female"": 737, ""0|Male"": 1165, ""1|Female"": 90, ""1|Male"": 572}",6001,iid,outputs/major_revision/heterogeneity-10seed-2d2b220/partitions/seed_6001/clients_10/iid/entropy_by_client.csv,measured
1,2564,0.8018733578612346,0.9148785483912224,"{""0"": 1938, ""1"": 626}","{""Female"": 846, ""Male"": 1718}","{""0|Female"": 748, ""0|Male"": 1190, ""1|Female"": 98, ""1|Male"": 528}",6001,iid,outputs/major_revision/heterogeneity-10seed-2d2b220/partitions/seed_6001/clients_10/iid/entropy_by_client.csv,measured
2,2564,0.7795582229878596,0.9152766483090544,"{""0"": 1972, ""1"": 592}","{""Female"": 847, ""Male"": 1717}","{""0|Female"": 755, ""0|Male"": 1217, ""1|Female"": 92, ""1|Male"": 500}",6001,iid,outputs/major_revision/heterogeneity-10seed-2d2b220/partitions/seed_6001/clients_10/iid/entropy_by_client.csv,measured
3,2564,0.8037755794293677,0.9100237532413932,"{""0"": 1935, ""1"": 629}","{""Female"": 834, ""Male"": 1730}","{""0|Female"": 748, ""0|Male"": 1187, ""1|Female"": 86, ""1|Male"": 543}",6001,iid,outputs/major_revision/heterogeneity-10seed-2d2b220/partitions/seed_6001/clients_10/iid/entropy_by_client.csv,measured
4,2564,0.8174014061324145,0.9180356041740556,"{""0"": 1913, ""1"": 651}","{""Female"": 854, ""Male"": 1710}","{""0|Female"": 759, ""0|Male"": 1154, ""1|Female"": 95, ""1|Male"": 556}",6001,iid,outputs/major_revision/heterogeneity-10seed-2d2b220/partitions/seed_6001/clients_10/iid/entropy_by_client.csv,measured
5,2564,0.8174014061324145,0.9144794558577996,"{""0"": 1913, ""1"": 651}","{""Female"": 845, ""Male"": 1719}","{""0|Female"": 761, ""0|Male"": 1152, ""1|Female"": 84, ""1|Male"": 567}",6001,iid,outputs/major_revision/heterogeneity-10seed-2d2b220/partitions/seed_6001/clients_10/iid/entropy_by_client.csv,measured
6,2564,0.8143543201144313,0.8918907331934122,"{""0"": 1918, ""1"": 646}","{""Female"": 792, ""Male"": 1772}","{""0|Female"": 692, ""0|Male"": 1226, ""1|Female"": 100, ""1|Male"": 546}",6001,iid,outputs/major_revision/heterogeneity-10seed-2d2b220/partitions/seed_6001/clients_10/iid/entropy_by_client.csv,measured
7,2563,0.7803910017141505,0.9138103199251916,"{""0"": 1970, ""1"": 593}","{""Female"": 843, ""Male"": 1720}","{""0|Female"": 746, ""0|Male"": 1224, ""1|Female"": 97, ""1|Male"": 496}",6001,iid,outputs/major_revision/heterogeneity-10seed-2d2b220/partitions/seed_6001/clients_10/iid/entropy_by_client.csv,measured
8,2563,0.8436896433785716,0.8911226835122944,"{""0"": 1867, ""1"": 696}","{""Female"": 790, ""Male"": 1773}","{""0|Female"": 698, ""0|Male"": 1169, ""1|Female"": 92, ""1|Male"": 604}",6001,iid,outputs/major_revision/heterogeneity-10seed-2d2b220/partitions/seed_6001/clients_10/iid/entropy_by_client.csv,measured
9,2563,0.8083274825101868,0.9109760648358344,"{""0"": 1927, ""1"": 636}","{""Female"": 836, ""Male"": 1727}","{""0|Female"": 725, ""0|Male"": 1202, ""1|Female"": 111, ""1|Male"": 525}",6001,iid,outputs/major_revision/heterogeneity-10seed-2d2b220/partitions/seed_6001/clients_10/iid/entropy_by_client.csv,measured
