client_id,sample_count,label_entropy,group_entropy,label_distribution,group_distribution,joint_distribution
0,2564,0.8210196929431572,0.9037526441935162,"{""0"": 1907, ""1"": 657}","{""Female"": 819, ""Male"": 1745}","{""0|Female"": 743, ""0|Male"": 1164, ""1|Female"": 76, ""1|Male"": 581}"
1,2564,0.8037755794293677,0.8877709088882934,"{""0"": 1935, ""1"": 629}","{""Female"": 783, ""Male"": 1781}","{""0|Female"": 690, ""0|Male"": 1245, ""1|Female"": 93, ""1|Male"": 536}"
2,2564,0.8356524400081357,0.8972543939232421,"{""0"": 1882, ""1"": 682}","{""Female"": 804, ""Male"": 1760}","{""0|Female"": 713, ""0|Male"": 1169, ""1|Female"": 91, ""1|Male"": 591}"
3,2564,0.7882561505500254,0.911657964511513,"{""0"": 1959, ""1"": 605}","{""Female"": 838, ""Male"": 1726}","{""0|Female"": 743, ""0|Male"": 1216, ""1|Female"": 95, ""1|Male"": 510}"
4,2564,0.8137414145402377,0.9285892824257278,"{""0"": 1919, ""1"": 645}","{""Female"": 882, ""Male"": 1682}","{""0|Female"": 783, ""0|Male"": 1136, ""1|Female"": 99, ""1|Male"": 546}"
5,2564,0.8198182156076766,0.8994458527272914,"{""0"": 1909, ""1"": 655}","{""Female"": 809, ""Male"": 1755}","{""0|Female"": 711, ""0|Male"": 1198, ""1|Female"": 98, ""1|Male"": 557}"
6,2564,0.7980367719386843,0.9092006505968705,"{""0"": 1944, ""1"": 620}","{""Female"": 832, ""Male"": 1732}","{""0|Female"": 717, ""0|Male"": 1227, ""1|Female"": 115, ""1|Male"": 505}"
7,2563,0.8205732518901382,0.9297989640185412,"{""0"": 1907, ""1"": 656}","{""Female"": 885, ""Male"": 1678}","{""0|Female"": 773, ""0|Male"": 1134, ""1|Female"": 112, ""1|Male"": 544}"
8,2563,0.7943128282799047,0.9130055167906249,"{""0"": 1949, ""1"": 614}","{""Female"": 841, ""Male"": 1722}","{""0|Female"": 752, ""0|Male"": 1197, ""1|Female"": 89, ""1|Male"": 525}"
9,2563,0.7975487102586989,0.9047375077906802,"{""0"": 1944, ""1"": 619}","{""Female"": 821, ""Male"": 1742}","{""0|Female"": 744, ""0|Male"": 1200, ""1|Female"": 77, ""1|Male"": 542}"
