client_id,sample_count,label_entropy,group_entropy,label_distribution,group_distribution,joint_distribution
0,2564,0.8180073432576436,0.902042078280013,"{""0"": 1912, ""1"": 652}","{""Female"": 815, ""Male"": 1749}","{""0|Female"": 716, ""0|Male"": 1196, ""1|Female"": 99, ""1|Male"": 553}"
1,2564,0.797393159150842,0.9104338043822799,"{""0"": 1945, ""1"": 619}","{""Female"": 835, ""Male"": 1729}","{""0|Female"": 738, ""0|Male"": 1207, ""1|Female"": 97, ""1|Male"": 522}"
2,2564,0.8396229961114703,0.9112509094006872,"{""0"": 1875, ""1"": 689}","{""Female"": 837, ""Male"": 1727}","{""0|Female"": 733, ""0|Male"": 1142, ""1|Female"": 104, ""1|Male"": 585}"
3,2564,0.8118956995595886,0.9203618869027642,"{""0"": 1922, ""1"": 642}","{""Female"": 860, ""Male"": 1704}","{""0|Female"": 765, ""0|Male"": 1157, ""1|Female"": 95, ""1|Male"": 547}"
4,2564,0.8069222587215535,0.9148785483912223,"{""0"": 1930, ""1"": 634}","{""Female"": 846, ""Male"": 1718}","{""0|Female"": 738, ""0|Male"": 1192, ""1|Female"": 108, ""1|Male"": 526}"
5,2564,0.7835984111912652,0.9046018676754312,"{""0"": 1966, ""1"": 598}","{""Female"": 821, ""Male"": 1743}","{""0|Female"": 735, ""0|Male"": 1231, ""1|Female"": 86, ""1|Male"": 512}"
6,2564,0.8234088389291747,0.9058681432334955,"{""0"": 1903, ""1"": 661}","{""Female"": 824, ""Male"": 1740}","{""0|Female"": 729, ""0|Male"": 1174, ""1|Female"": 95, ""1|Male"": 566}"
7,2563,0.8032978756402229,0.9105671791381422,"{""0"": 1935, ""1"": 628}","{""Female"": 835, ""Male"": 1728}","{""0|Female"": 747, ""0|Male"": 1188, ""1|Female"": 88, ""1|Male"": 540}"
8,2563,0.8163401867571671,0.8929346118827093,"{""0"": 1914, ""1"": 649}","{""Female"": 794, ""Male"": 1769}","{""0|Female"": 713, ""0|Male"": 1201, ""1|Female"": 81, ""1|Male"": 568}"
9,2563,0.7917024302539046,0.9154079911091381,"{""0"": 1953, ""1"": 610}","{""Female"": 847, ""Male"": 1716}","{""0|Female"": 755, ""0|Male"": 1198, ""1|Female"": 92, ""1|Male"": 518}"
