client_id,sample_count,label_entropy,group_entropy,label_distribution,group_distribution,joint_distribution
0,2564,0.8186121231009023,0.9087875978470054,"{""0"": 1911, ""1"": 653}","{""Female"": 831, ""Male"": 1733}","{""0|Female"": 744, ""0|Male"": 1167, ""1|Female"": 87, ""1|Male"": 566}"
1,2564,0.8533592572218709,0.9132762165878242,"{""0"": 1850, ""1"": 714}","{""Female"": 842, ""Male"": 1722}","{""0|Female"": 727, ""0|Male"": 1123, ""1|Female"": 115, ""1|Male"": 599}"
2,2564,0.8112781244591328,0.9041777603451743,"{""0"": 1923, ""1"": 641}","{""Female"": 820, ""Male"": 1744}","{""0|Female"": 725, ""0|Male"": 1198, ""1|Female"": 95, ""1|Male"": 546}"
3,2564,0.8125121054668893,0.899009595944974,"{""0"": 1921, ""1"": 643}","{""Female"": 808, ""Male"": 1756}","{""0|Female"": 713, ""0|Male"": 1208, ""1|Female"": 95, ""1|Male"": 548}"
4,2564,0.8075480524453709,0.9144794558577997,"{""0"": 1929, ""1"": 635}","{""Female"": 845, ""Male"": 1719}","{""0|Female"": 746, ""0|Male"": 1183, ""1|Female"": 99, ""1|Male"": 536}"
5,2564,0.7954551257121647,0.9016119081818514,"{""0"": 1948, ""1"": 616}","{""Female"": 814, ""Male"": 1750}","{""0|Female"": 724, ""0|Male"": 1224, ""1|Female"": 90, ""1|Male"": 526}"
6,2564,0.8056671329063219,0.9211294325608974,"{""0"": 1932, ""1"": 632}","{""Female"": 862, ""Male"": 1702}","{""0|Female"": 765, ""0|Male"": 1167, ""1|Female"": 97, ""1|Male"": 535}"
7,2563,0.7790369171885096,0.9060033074604705,"{""0"": 1972, ""1"": 591}","{""Female"": 824, ""Male"": 1739}","{""0|Female"": 732, ""0|Male"": 1240, ""1|Female"": 92, ""1|Male"": 499}"
8,2563,0.7988346613645427,0.9109760648358344,"{""0"": 1942, ""1"": 621}","{""Female"": 836, ""Male"": 1727}","{""0|Female"": 754, ""0|Male"": 1188, ""1|Female"": 82, ""1|Male"": 539}"
9,2563,0.8083274825101868,0.9093345203313589,"{""0"": 1927, ""1"": 636}","{""Female"": 832, ""Male"": 1731}","{""0|Female"": 739, ""0|Male"": 1188, ""1|Female"": 93, ""1|Male"": 543}"
